"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: 長照支付審查－服務記錄申報邏輯模型對應"
"LTCFeeApplyModel","LTCFeeApplyModel","","","",0,*,"","","","null {[]} {[]}
","長照支付審查－服務記錄申報邏輯模型","此邏輯模型以衛生福利部「支付審核系統 API 規格說明書（照管平台）v2.2.1」之「服務記錄申報 (FeeApply)」傳送資料為基礎，完整描述服務提供單位向支付審核系統申報個案服務紀錄時所需的資料結構與欄位準備指引。每個交易序號每次申報最多 5000 筆個案服務紀錄；每筆服務記錄具唯一的識別碼 (objid)，識別碼不存在時新增服務紀錄，已存在時更新服務紀錄。欄位之必填規則除傳送資料表所標示者外，另依規格書「表1: 支付碼必填欄位一覽表」隨照顧組合代碼 (govItemCd) 而異，屬條件必填，故於本模型中一律以 0..1 表示並於定義中說明條件。","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"LTCFeeApplyModel.applyInfo.caseSvcRecords.id","LTCFeeApplyModel.applyInfo.caseSvcRecords.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"LTCFeeApplyModel.applyInfo.caseSvcRecords.extension","LTCFeeApplyModel.applyInfo.caseSvcRecords.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.modifierExtension","LTCFeeApplyModel.applyInfo.caseSvcRecords.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.objid","LTCFeeApplyModel.applyInfo.caseSvcRecords.objid","","","",1,1,"","","","string {[]} {[]}
","識別碼","服務紀錄之唯一識別碼，字串長度 20，由服務提供單位系統產生。申報之識別碼不存在時，於支審系統新增服務紀錄；識別碼已存在時，則更新支審系統之服務紀錄。表1 中各支付碼皆為必填。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.objid",1,1,"","","Claim.identifier.where(system='http://ltc-ig.fhir.tw/identifier/feeaudit/objid').value"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.idn","LTCFeeApplyModel.applyInfo.caseSvcRecords.idn","","","",1,1,"","","","string {[]} {[]}
","個案身分證字號","接受服務之個案（長照需要者）身分證字號，字串長度 10。表1 中各支付碼皆為必填。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.idn",1,1,"","","Claim.patient"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.svcDt","LTCFeeApplyModel.applyInfo.caseSvcRecords.svcDt","","","",1,1,"","","","date {[]} {[]}
","服務日期","提供服務之日期，原始格式為字串長度 8 之 yyyyMMdd。表1 中各支付碼皆為必填。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.svcDt",1,1,"","","Claim.item.servicedPeriod.start"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.svcEndDt","LTCFeeApplyModel.applyInfo.caseSvcRecords.svcEndDt","","","",0,1,"","","","date {[]} {[]}
","服務結束日期","服務結束之日期，原始格式為字串長度 8 之 yyyyMMdd；空白時表示與服務日期 (svcDt) 為同一日。表1 中為非必填欄位。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.svcEndDt",0,1,"","","Claim.item.servicedPeriod.end"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.govItemCd","LTCFeeApplyModel.applyInfo.caseSvcRecords.govItemCd","","","",1,1,"","","","code {[]} {[]}
","照顧組合代碼","政府核定之照顧組合（支付）代碼，字串長度 10；A 單位服務紀錄請輸入 AA00。此欄位決定其他欄位之條件必填規則（詳見表1: 支付碼必填欄位一覽表）。表1 中各支付碼皆為必填。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.govItemCd",1,1,"","","Claim.item.productOrService"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.svcFeeTp","LTCFeeApplyModel.applyInfo.caseSvcRecords.svcFeeTp","","","",1,1,"","","","code {[]} {[]}
","服務類別","服務之費用類別，字串長度 1；1:補助、2:自費。表1 中各支付碼皆為必填。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.svcFeeTp",1,1,"","","Claim.item.category"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.price","LTCFeeApplyModel.applyInfo.caseSvcRecords.price","","","",0,1,"","","","decimal {[]} {[]}
","單價","該筆服務之單價，數值型態。表1 條件必填：申報 BD03、DA01 為必填；申報 AA00、B 碼、G 碼、SC 碼、C 碼、AA03 為非必填。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.price",0,1,"","","Claim.item.unitPrice"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.amount","LTCFeeApplyModel.applyInfo.caseSvcRecords.amount","","","",1,1,"","","","decimal {[]} {[]}
","數量","該筆服務之申報數量，數值型態。表1 中各支付碼皆為必填。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.amount",1,1,"","","Claim.item.quantity"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.svcUserNo1","LTCFeeApplyModel.applyInfo.caseSvcRecords.svcUserNo1","","","",0,1,"","","","string {[]} {[]}
","照顧服務員身分證字號1","提供服務之第 1 位照顧服務員身分證字號，字串長度 40。表1 條件必填：申報 AA00、B 碼、G 碼、SC 碼、C 碼、BD03、DA01 為必填；申報 AA03 為非必填。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.svcUserNo1",0,1,"","","Claim.careTeam.where(sequence=1).provider"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.svcUserNo2","LTCFeeApplyModel.applyInfo.caseSvcRecords.svcUserNo2","","","",0,1,"","","","string {[]} {[]}
","照顧服務員身分證字號2","提供服務之第 2 位照顧服務員身分證字號，字串長度 40。表1 中為非必填欄位。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.svcUserNo2",0,1,"","","Claim.careTeam.where(sequence=2).provider"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.svcUserNo3","LTCFeeApplyModel.applyInfo.caseSvcRecords.svcUserNo3","","","",0,1,"","","","string {[]} {[]}
","照顧服務員身分證字號3","提供服務之第 3 位照顧服務員身分證字號，字串長度 40。表1 中為非必填欄位。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.svcUserNo3",0,1,"","","Claim.careTeam.where(sequence=3).provider"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.svcUserNo4","LTCFeeApplyModel.applyInfo.caseSvcRecords.svcUserNo4","","","",0,1,"","","","string {[]} {[]}
","照顧服務員身分證字號4","提供服務之第 4 位照顧服務員身分證字號，字串長度 40。表1 中為非必填欄位。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.svcUserNo4",0,1,"","","Claim.careTeam.where(sequence=4).provider"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.svcUserNo5","LTCFeeApplyModel.applyInfo.caseSvcRecords.svcUserNo5","","","",0,1,"","","","string {[]} {[]}
","照顧服務員身分證字號5","提供服務之第 5 位照顧服務員身分證字號，字串長度 40。表1 中為非必填欄位。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.svcUserNo5",0,1,"","","Claim.careTeam.where(sequence=5).provider"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.startHh","LTCFeeApplyModel.applyInfo.caseSvcRecords.startHh","","","",0,1,"","","","string {[]} {[]}
","起始時段-小時","服務起始時間之小時，字串長度 2，採 24 小時制，不足兩碼補 0（9 應填 09）。表1 條件必填：申報 B 碼、G 碼、SC 碼、C 碼、BD03、DA01 為必填；申報 AA00、AA03 為非必填。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.startHh",0,1,"","","Claim.item.servicedPeriod.start"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.startMm","LTCFeeApplyModel.applyInfo.caseSvcRecords.startMm","","","",0,1,"","","","string {[]} {[]}
","起始時段-分鐘","服務起始時間之分鐘，字串長度 2，不足兩碼補 0（5 應填 05）。表1 條件必填：申報 B 碼、G 碼、SC 碼、C 碼、BD03、DA01 為必填；申報 AA00、AA03 為非必填。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.startMm",0,1,"","","Claim.item.servicedPeriod.start"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.endHh","LTCFeeApplyModel.applyInfo.caseSvcRecords.endHh","","","",0,1,"","","","string {[]} {[]}
","結束時段-小時","服務結束時間之小時，字串長度 2，採 24 小時制，不足兩碼補 0（9 應填 09）。表1 條件必填：申報 B 碼、G 碼、SC 碼、C 碼、BD03、DA01 為必填；申報 AA00、AA03 為非必填。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.endHh",0,1,"","","Claim.item.servicedPeriod.end"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.endMm","LTCFeeApplyModel.applyInfo.caseSvcRecords.endMm","","","",0,1,"","","","string {[]} {[]}
","結束時段-分鐘","服務結束時間之分鐘，字串長度 2，不足兩碼補 0（5 應填 05）。表1 條件必填：申報 B 碼、G 碼、SC 碼、C 碼、BD03、DA01 為必填；申報 AA00、AA03 為非必填。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.endMm",0,1,"","","Claim.item.servicedPeriod.end"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.remark","LTCFeeApplyModel.applyInfo.caseSvcRecords.remark","","","",0,1,"","","","string {[]} {[]}
","備註","該筆服務紀錄之備註說明，字串長度 4000。表1 中為非必填欄位。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.remark",0,1,"","","Claim.supportingInfo.where(category.coding.code='remark').valueString"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.svcItem","LTCFeeApplyModel.applyInfo.caseSvcRecords.svcItem","","","",0,1,"","","","string {[]} {[]}
","服務項目","個案管理服務之服務項目，字串長度 20；1.電訪、2.家訪、3.與案家討論服務內容調整、4.接受申訴、5.照會或連結至服務提供單位、9.其他；多個選項以「|」分隔（例如 1|2）。表1 條件必填：申報 AA00 為必填、申報 AA03 為必填（填寫 C 碼服務）；申報 B 碼、G 碼、SC 碼、C 碼、BD03、DA01 不填。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.svcItem",0,1,"","","Claim.supportingInfo.where(category.coding.code='svcItem').code"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.svcItemOther","LTCFeeApplyModel.applyInfo.caseSvcRecords.svcItemOther","","","",0,1,"","","","string {[]} {[]}
","服務項目-其他","當服務項目 (svcItem) 選填「9.其他」時之補充說明，字串長度 255。表1 條件必填：申報 AA00 為非必填；其餘支付碼不填。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.svcItemOther",0,1,"","","Claim.supportingInfo.where(category.coding.code='svcItemOther').valueString"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.svcPeople","LTCFeeApplyModel.applyInfo.caseSvcRecords.svcPeople","","","",0,1,"","","","string {[]} {[]}
","服務對象","個案管理服務之服務對象，字串長度 10；1.服務使用者、2.家庭照顧者；多個選項以「|」分隔（例如 1|2）。表1 條件必填：申報 AA00 為必填；其餘支付碼不填。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.svcPeople",0,1,"","","Claim.supportingInfo.where(category.coding.code='svcPeople').code"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.svcContent","LTCFeeApplyModel.applyInfo.caseSvcRecords.svcContent","","","",0,1,"","","","string {[]} {[]}
","服務內容","個案管理服務之服務內容描述，字串長度 4000。表1 條件必填：申報 AA00 為必填；其餘支付碼不填。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.svcContent",0,1,"","","Claim.supportingInfo.where(category.coding.code='svcContent').valueString"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.svcPoint","LTCFeeApplyModel.applyInfo.caseSvcRecords.svcPoint","","","",0,1,"","","","string {[]} {[]}
","服務重點","個案管理服務之服務重點，字串長度 20；1.追蹤長照需要者與各項服務之連結情形、2.計畫與內容異動討論、3.協助長照需要者或其家屬其他資源連結、4.接受長照需要者及其家屬有關長照服務諮詢與處理、5.接受申訴、9.其他；多個選項以「|」分隔（例如 1|2）。表1 條件必填：申報 AA00 為非必填；其餘支付碼不填。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.svcPoint",0,1,"","","Claim.supportingInfo.where(category.coding.code='svcPoint').code"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.svcPointOther","LTCFeeApplyModel.applyInfo.caseSvcRecords.svcPointOther","","","",0,1,"","","","string {[]} {[]}
","服務重點-其他","當服務重點 (svcPoint) 選填「9.其他」時之補充說明，字串長度 255。表1 條件必填：申報 AA00 為非必填；其餘支付碼不填。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.svcPointOther",0,1,"","","Claim.supportingInfo.where(category.coding.code='svcPointOther').valueString"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.svcTrace","LTCFeeApplyModel.applyInfo.caseSvcRecords.svcTrace","","","",0,1,"","","","string {[]} {[]}
","追蹤服務適應與介入情形","個案管理服務中追蹤長照需要者服務適應與介入情形之描述，字串長度 4000。表1 條件必填：申報 AA00 為非必填；其餘支付碼不填。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.svcTrace",0,1,"","","Claim.supportingInfo.where(category.coding.code='svcTrace').valueString"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.svcGoal","LTCFeeApplyModel.applyInfo.caseSvcRecords.svcGoal","","","",0,1,"","","","string {[]} {[]}
","各項服務目標及整體計畫目標達成情形","個案管理服務中各項服務目標及整體照顧計畫目標達成情形之描述，字串長度 4000。表1 條件必填：申報 AA00 為非必填；其餘支付碼不填。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.svcGoal",0,1,"","","Claim.supportingInfo.where(category.coding.code='svcGoal').valueString"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.svcSuitable","LTCFeeApplyModel.applyInfo.caseSvcRecords.svcSuitable","","","",0,1,"","","","string {[]} {[]}
","整體計畫的適切性及需求異動","個案管理服務中整體照顧計畫適切性評估及需求異動之描述，字串長度 4000。表1 條件必填：申報 AA00 為非必填；其餘支付碼不填。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.svcSuitable",0,1,"","","Claim.supportingInfo.where(category.coding.code='svcSuitable').valueString"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.svcUnit","LTCFeeApplyModel.applyInfo.caseSvcRecords.svcUnit","","","",0,1,"","","","string {[]} {[]}
","提供專業服務單位","提供專業服務之 C 單位（特約服務單位）之單位代碼，字串長度 20。表1 條件必填：申報 AA03 為必填；其餘支付碼不填。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.svcUnit",0,1,"","","Claim.supportingInfo.where(category.coding.code='svcUnit').valueString"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.svccGoalType","LTCFeeApplyModel.applyInfo.caseSvcRecords.svccGoalType","","","",0,1,"","","","code {[]} {[]}
","專業服務復能目標達成情形","專業服務復能目標之達成情形，字串長度 1；1.尚未滿 1 照顧組合之次數、2.已滿 1 照顧組合之次數且已達目標、3.已滿 1 照顧組合之次數但尚未達目標、4.未滿 1 照顧組合之次數且已達目標、5.未滿 1 照顧組合之次數但尚未達目標。表1 條件必填：申報 C 碼為非必填；其餘支付碼不填。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.svccGoalType",0,1,"","","Claim.supportingInfo.where(category.coding.code='svccGoalType').code"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.svccGoal","LTCFeeApplyModel.applyInfo.caseSvcRecords.svccGoal","","","",0,1,"","","","string {[]} {[]}
","專業服務復能目標","專業服務所設定之復能目標描述，字串長度 4000。表1 條件必填：申報 C 碼為非必填；其餘支付碼不填。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.svccGoal",0,1,"","","Claim.supportingInfo.where(category.coding.code='svccGoal').valueString"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.svccContentTarget","LTCFeeApplyModel.applyInfo.caseSvcRecords.svccContentTarget","","","",0,1,"","","","string {[]} {[]}
","專業服務指導對象","專業服務指導之對象描述，字串長度 4000。表1 條件必填：申報 C 碼為非必填；其餘支付碼不填。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.svccContentTarget",0,1,"","","Claim.supportingInfo.where(category.coding.code='svccContentTarget').valueString"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.svccContent","LTCFeeApplyModel.applyInfo.caseSvcRecords.svccContent","","","",0,1,"","","","string {[]} {[]}
","專業服務服務內容","專業服務實際提供之服務內容描述，字串長度 4000。表1 條件必填：申報 C 碼為非必填；其餘支付碼不填。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.svccContent",0,1,"","","Claim.supportingInfo.where(category.coding.code='svccContent').valueString"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.svccSuggest","LTCFeeApplyModel.applyInfo.caseSvcRecords.svccSuggest","","","",0,1,"","","","string {[]} {[]}
","專業服務指導建議摘要","專業服務指導之建議摘要，字串長度 4000。表1 條件必填：申報 C 碼為非必填；其餘支付碼不填。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.svccSuggest",0,1,"","","Claim.supportingInfo.where(category.coding.code='svccSuggest').valueString"
"LTCFeeApplyModel.applyInfo.caseSvcRecords.addr1","LTCFeeApplyModel.applyInfo.caseSvcRecords.addr1","","","",0,1,"","","","string {[]} {[]}
","出發地","交通接送之出發地地址或地點名稱，字串長度 40。表1 條件必填：申報 BD03、DA01 填寫，依 v2.2.1 規定（適用 113 年 6 月 1 日後服務紀錄），出發地 (addr1)、出發地-緯度 (addrlat1)、出發地-經度 (addrlng1) 需至少填寫一個欄位；已填寫出發地者可不必再填寫出發地經緯度。其餘支付碼不填。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords.addr1",0,1,"","","Claim.supportingInfo.where(category.coding.code='addrFrom').valueReference"
